p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CCL5	0	2.17832050815054	0.749	0.171	0	0	CCL5
GZMA	0	1.53548668544156	0.647	0.058	0	0	GZMA
NKG7	0	1.53068622700582	0.587	0.06	0	0	NKG7
IL32	0	1.5059878321298	0.889	0.278	0	0	IL32
CCL4	0	1.43544281725966	0.525	0.155	0	0	CCL4
CD2	0	1.36578218282742	0.827	0.064	0	0	CD2
CD3D	0	1.36434461625594	0.785	0.057	0	0	CD3D
CD52	0	1.25950848867569	0.844	0.152	0	0	CD52
TRBC2	0	1.21173301587244	0.72	0.06	0	0	TRBC2
HCST	0	1.15277033476785	0.803	0.162	0	0	HCST
IL7R	0	1.14009981513643	0.43	0.064	0	0	IL7R
CD69	0	1.05977875239319	0.693	0.123	0	0	CD69
TRAC	0	1.05612805605077	0.667	0.046	0	0	TRAC
CD3G	0	1.0460195088649	0.693	0.045	0	0	CD3G
GZMK	0	1.04255864054195	0.4	0.03	0	0	GZMK
TRBC1	0	0.992250720315403	0.491	0.036	0	0	TRBC1
BTG1	0	0.929262405272757	0.962	0.712	0	0	BTG1
CD3E	0	0.92590719952751	0.686	0.04	0	0	CD3E
GZMB	0	0.920267042306295	0.357	0.044	0	0	GZMB
RPS27	0	0.919486503844928	1	0.991	0	0	RPS27
ZFP36L2	0	0.900629599512511	0.801	0.477	0	0	ZFP36L2
CST7	0	0.865313101635226	0.589	0.08	0	0	CST7
KLRB1	0	0.85136092478144	0.358	0.024	0	0	KLRB1
RPS29	0	0.849376556829351	1	0.985	0	0	RPS29
CD7	0	0.848068519894358	0.526	0.041	0	0	CD7
LTB	0	0.847382502402358	0.552	0.134	0	0	LTB
PTPRC	0	0.830474025634188	0.961	0.451	0	0	PTPRC
DUSP2	0	0.828135221303635	0.588	0.175	0	0	DUSP2
CXCR4	0	0.81724073924858	0.627	0.195	0	0	CXCR4
JUND	0	0.802406832589328	0.935	0.77	0	0	JUND
STK17B	0	0.793048120010851	0.743	0.235	0	0	STK17B
TMSB4X	0	0.785590598497606	1	0.958	0	0	TMSB4X
SRSF7	0	0.784169021454036	0.813	0.488	0	0	SRSF7
STK17A	0	0.773657159237175	0.684	0.152	0	0	STK17A
EVL	0	0.756291172762832	0.662	0.116	0	0	EVL
RGS1	0	0.754422289596186	0.574	0.176	0	0	RGS1
BCL11B	0	0.737689149264484	0.574	0.064	0	0	BCL11B
CORO1A	0	0.736688325448015	0.736	0.191	0	0	CORO1A
IFNG	0	0.721186460745466	0.273	0.021	0	0	IFNG
XCL2	0	0.720839929479413	0.299	0.021	0	0	XCL2
GIMAP7	0	0.715333961020177	0.569	0.08	0	0	GIMAP7
ETS1	0	0.708549427469451	0.628	0.101	0	0	ETS1
CD48	0	0.705066034928392	0.667	0.159	0	0	CD48
TNFAIP3	0	0.690854913536051	0.629	0.245	0	0	TNFAIP3
GZMH	0	0.685916860053893	0.33	0.022	0	0	GZMH
DDX5	0	0.675871498628097	0.978	0.847	0	0	DDX5
CTSW	0	0.672471238116332	0.404	0.039	0	0	CTSW
TSC22D3	0	0.660741174316012	0.618	0.263	0	0	TSC22D3
ACAP1	0	0.656174950247034	0.591	0.072	0	0	ACAP1
APOBEC3G	0	0.646019688905524	0.492	0.072	0	0	APOBEC3G
ARL4C	0	0.638268306259798	0.604	0.171	0	0	ARL4C
PPP2R5C	0	0.637319309646667	0.583	0.163	0	0	PPP2R5C
RPS15A	0	0.626250066992691	0.999	0.981	0	0	RPS15A
GZMM	0	0.624629330720512	0.478	0.019	0	0	GZMM
RPS3	0	0.624400230688747	1	0.968	0	0	RPS3
IKZF3	0	0.615970206603934	0.503	0.061	0	0	IKZF3
SH3BGRL3	0	0.598242582198214	0.969	0.783	0	0	SH3BGRL3
RPL30	0	0.597643794379131	1	0.982	0	0	RPL30
RAC2	0	0.595960131855514	0.681	0.194	0	0	RAC2
CD247	0	0.595386609200097	0.458	0.027	0	0	CD247
KLRD1	0	0.59445051016478	0.303	0.024	0	0	KLRD1
RPL23A	0	0.593019226777267	0.998	0.966	0	0	RPL23A
MBNL1	0	0.592414429081114	0.69	0.288	0	0	MBNL1
RPL13	0	0.58866737015777	1	0.991	0	0	RPL13
ITM2A	0	0.586528313409972	0.478	0.073	0	0	ITM2A
LCK	0	0.585870828432661	0.514	0.031	0	0	LCK
CALM1	0	0.579683661817973	0.982	0.89	0	0	CALM1
JUNB	0	0.575107471507396	0.893	0.759	0	0	JUNB
ID2	0	0.574665966323284	0.521	0.205	0	0	ID2
STK4	0	0.574136546337679	0.647	0.195	0	0	STK4
CD8A	0	0.570711404150944	0.357	0.025	0	0	CD8A
CD96	0	0.567097339376378	0.477	0.028	0	0	CD96
CLEC2D	0	0.566371026880034	0.469	0.05	0	0	CLEC2D
RUNX3	0	0.562972931847793	0.538	0.156	0	0	RUNX3
S100A4	0	0.560212101089972	0.9	0.635	0	0	S100A4
RPS25	0	0.559217241245378	0.997	0.967	0	0	RPS25
FYN	0	0.551199168837722	0.509	0.066	0	0	FYN
KLF6	0	0.549295535449092	0.805	0.621	0	0	KLF6
HLA-A	0	0.548911828726838	0.998	0.886	0	0	HLA-A
ARHGDIB	0	0.543897950075286	0.732	0.296	0	0	ARHGDIB
IL2RB	0	0.542753164468259	0.4	0.025	0	0	IL2RB
EMB	0	0.524098390136227	0.497	0.074	0	0	EMB
LEPROTL1	0	0.523779237784331	0.524	0.13	0	0	LEPROTL1
RPS27A	0	0.52144758915261	1	0.983	0	0	RPS27A
TIGIT	0	0.516398375887778	0.345	0.022	0	0	TIGIT
IKZF1	0	0.516003994550177	0.534	0.112	0	0	IKZF1
PRF1	0	0.512598152894888	0.321	0.019	0	0	PRF1
MYL12A	0	0.511773583369261	0.92	0.77	0	0	MYL12A
DDX24	0	0.502800081524299	0.658	0.353	0	0	DDX24
RPL10	0	0.498467641085757	1	0.994	0	0	RPL10
