,p_val,avg_logFC,pct.1,pct.2,p_val_adj
RPS26,1.42025763062677e-98,-0.753201205589165,0.759,0.995,2.48857542038423e-94
IGLC3,1.18837722222633e-97,-1.59603962039979,0.068,0.708,2.08227456878498e-93
RPLP1,2.03236137312786e-84,-0.442738282540841,1,1,3.56110359799464e-80
RPS8,4.79934523428644e-81,-0.534785031866245,1,1,8.40941271951669e-77
RPL28,2.64813927348713e-78,-0.452389896057009,0.998,1,4.64006963500415e-74
RPL7A,6.74297865714358e-71,-0.47172086992415,0.995,1,1.1815047203047e-66
RPL10,4.50354577013083e-68,-0.431364538424308,1,1,7.89111289842324e-64
COL4A1,3.02112353973455e-64,-0.832438372269101,0.581,0.902,5.29361266632288e-60
TMSB4X,1.3940436103109e-62,-0.552758301445615,1,1,2.44264321398675e-58
RPS12,5.51838622512118e-61,-0.41416529989051,0.995,1,9.66931634365732e-57
PFDN5,1.25802845022514e-60,-0.460792792678089,0.962,0.996,2.20431745048449e-56
COL4A2,4.68949215586071e-60,-0.710865268633452,0.689,0.931,8.21692815549913e-56
RPL41,5.69746842876057e-59,-0.35969811893975,1,1,9.98310418087427e-55
RPS15A,2.53627739869956e-58,-0.385390148379696,0.991,0.997,4.44406525800138e-54
RPL18A,2.10339632313718e-57,-0.377967051156806,0.998,0.999,3.68557103740096e-53
MT2A,7.62767123912003e-57,-1.49924322077572,0.599,0.886,1.33652055451861e-52
IGFBP2,1.17530346220686e-56,-0.835922760832182,0.421,0.835,2.05936672647887e-52
RPS14,5.74294709337722e-56,-0.348968259365408,1,1,1.00627918970156e-51
IGKC,4.29726604034033e-55,-0.303457506685684,0.212,0.67,7.52966955588433e-51
HLA-C,5.0225424145105e-55,0.714340026711585,0.973,0.927,8.80049881870529e-51
RPL29,5.02667002512657e-53,-0.400960369774806,0.995,1,8.80773121802678e-49
RPS23,1.23474562534257e-52,-0.34512980750596,0.995,1,2.16352128472525e-48
RPLP0,1.10610097807889e-51,-0.415452942417371,0.968,0.995,1.93811013378982e-47
