"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"HLA-C",5.0225424145105e-55,0.714340026711585,0.973,0.927,8.80049881870529e-51
"SPCS2",4.11242329721632e-42,0.453774073695418,0.775,0.519,7.20578810138244e-38
"HSP90AA1",1.46443727072767e-41,0.595633925749912,0.993,0.969,2.56598698576902e-37
"MT-CO3",3.38482031541448e-41,0.45858580504687,0.995,0.999,5.93088215666925e-37
"HLA-A",4.56436014736429e-41,0.723482953817546,0.98,0.974,7.99767185021171e-37
"MT-ND1",1.4629748934048e-40,0.474315402622269,0.991,0.997,2.5634246082239e-36
"MT-ND5",4.9530441236705e-40,0.39480259627412,0.991,0.972,8.67872391349545e-36
"DNAJA1",3.84775143377564e-39,0.445173471024941,0.867,0.644,6.74203006226167e-35
"STAT1",1.0029808360877e-38,0.637785858235001,0.523,0.202,1.75742302099286e-34
"TUBA1B",2.84631418092119e-38,0.490587368330672,0.723,0.43,4.98731170781012e-34
"ACTB",3.62578733553948e-37,0.464309847655762,0.998,0.974,6.35310456933227e-33
"B2M",8.19497132967272e-34,0.584769902314622,1,1,1.43592287638525e-29
"PSMB9",9.19474138373579e-33,0.485832081407033,0.455,0.168,1.61110258525819e-28
"MT-ND2",2.74595818422985e-32,0.420553407759366,0.989,0.999,4.81146793040754e-28
"JUNB",1.97583160339004e-31,0.708718665860137,0.887,0.743,3.46205213546003e-27
"HNRNPA2B1",2.70594945885835e-30,0.344804439081458,0.939,0.852,4.74136464181161e-26
"GBP1",1.89611474036513e-29,0.461578854849898,0.363,0.104,3.32237224806778e-25
"HLA-E",1.56616660931294e-28,0.479533969038916,0.872,0.743,2.74423713283813e-24
"IFI6",1.46173326146812e-27,0.560178160138383,0.538,0.273,2.56124902074445e-23
"MT-ATP6",4.5232044503833e-27,0.353547934785265,0.998,0.999,7.92555883796162e-23
"IRF1",9.4535363557318e-27,0.472574475135077,0.536,0.263,1.65644864025133e-22
"PGRMC1",1.79183971796552e-25,0.372463674790927,0.689,0.474,3.13966155381918e-21
"DDX5",2.90133301745342e-25,0.314549052777644,0.975,0.95,5.08371571318187e-21
"DUSP1",8.73359544561573e-25,0.522925132539825,0.764,0.543,1.53030059398079e-20
"HLA-B",1.16482475967255e-24,0.630006487617919,0.957,0.98,2.04100594389823e-20
"HNRNPA3",2.56744340032493e-24,0.313406754712951,0.786,0.619,4.49867432604934e-20
"PPP2R2C",2.56899141830514e-24,0.18566802929634,0.203,0.028,4.50138676315426e-20
"CD74",6.62298892236679e-24,0.36940680878514,0.385,0.135,1.16048011897711e-19
"GSN",2.32449440373129e-23,0.485576137459708,0.752,0.615,4.07297909421797e-19
"EGR1",6.27447942462737e-23,0.564019121500982,0.779,0.613,1.09941428478321e-18
"SRSF5",7.34963963626316e-23,0.3055115986989,0.646,0.387,1.28780385706603e-18
"APOL6",1.51347475685618e-22,0.322600269039145,0.423,0.182,2.65191046896339e-18
"MT-ND4",1.63860575365912e-22,0.2876021896608,0.998,0.999,2.87116500156151e-18
"HNRNPR",2.36287590698842e-22,0.302203779786398,0.662,0.422,4.14023116422512e-18
"JUND",4.69214909274226e-22,0.407273935503539,0.95,0.898,8.22158364030299e-18
"CCL5",2.35570553196364e-21,0.456128320007754,0.236,0.052,4.12766723310668e-17
"IL32",6.4659750002286e-21,0.429515552648247,0.565,0.329,1.13296813954006e-16
"HSPE1",9.84908381894974e-21,0.347905660902461,0.745,0.544,1.72575646675637e-16
"HNRNPH1",2.90003725294964e-20,0.327995284286629,0.529,0.294,5.08144527461836e-16
"ESR1",5.66643597024113e-20,0.392757255252057,0.545,0.333,9.9287291070565e-16
"HLA-F",6.2889413595415e-20,0.293143798111112,0.36,0.145,1.10194830501886e-15
"CYP1B1",1.41531373223386e-19,0.343536700272806,0.32,0.118,2.47991272162017e-15
"HSPH1",1.53482539215668e-19,0.464775125512505,0.486,0.271,2.68932105213694e-15
"CXCL9",1.59176476204975e-19,0.754355466094904,0.119,0.005,2.78909021606357e-15
"FOSB",1.67965169656077e-19,0.493603295721317,0.849,0.672,2.94308570271379e-15
"EPSTI1",3.6165866376299e-19,0.282823211222428,0.358,0.144,6.33698310645511e-15
"FUS",1.33102297574253e-18,0.301482799221641,0.709,0.506,2.33221845809606e-14
"HSPA5",2.4662627736148e-18,0.383663530640661,0.691,0.535,4.32138563192785e-14
"DNAJB1",7.72841354169509e-18,0.528537627769308,0.669,0.481,1.35417262077581e-13
"WARS1",1.47699992444739e-17,0.255337439556086,0.268,0.089,2.58799926761672e-13
"MCL1",1.52555854076897e-17,0.377409396499856,0.682,0.512,2.67308367513539e-13
"IFI44L",1.66955773573341e-17,0.194593204091591,0.173,0.033,2.92539906455209e-13
"MT-ND3",2.80627354560285e-17,0.230308696556628,0.993,0.999,4.91715250660531e-13
"DDX3X",3.52257744095432e-17,0.296934102620826,0.694,0.495,6.17226019204016e-13
"HMGB1",4.52491490170866e-17,0.227517506171376,0.995,0.972,7.92855589077392e-13
"PER3",4.79367861814817e-17,0.203514402945594,0.241,0.072,8.39948367471922e-13
"APOL1",7.01195480851992e-17,0.247442227207187,0.284,0.105,1.22863472154886e-12
"DPEP1",1.14302074944599e-16,0.322880591246621,0.203,0.052,2.00280095717927e-12
"SF1",1.31814236424222e-16,0.260158740975452,0.565,0.354,2.30964905062521e-12
"BTG2",1.69443509041663e-16,0.433041991791971,0.525,0.308,2.96898916542802e-12
"NREP",2.52388925332315e-16,0.295369886382966,0.444,0.228,4.42235874967283e-12
"TPBG",2.63881990058055e-16,0.315578664182647,0.563,0.376,4.62374022979724e-12
"TUBA1A",2.73613315475495e-16,0.490491995140288,0.766,0.67,4.79425251376162e-12
"MT-CO1",2.93435688997292e-16,0.213772033659216,0.995,0.999,5.14158014261055e-12
"ANK2",3.02556210442834e-16,0.224989211640829,0.311,0.126,5.30138991937933e-12
"TNFSF10",6.35445906798489e-16,0.300553406679315,0.378,0.181,1.11342831789231e-11
"ATP6V0E1",7.92062806220425e-16,0.241947980675567,0.811,0.684,1.38785244905943e-11
"RBM25",1.396063600054e-15,0.260158740975452,0.541,0.35,2.44618264001462e-11
"CALR",1.75922384669392e-15,0.291138928472072,0.84,0.755,3.08251202417708e-11
"GBP4",2.45450591042344e-15,0.277335600945651,0.277,0.106,4.30078525624395e-11
"CXCL11",3.66934571134815e-15,0.343525808667874,0.079,0,6.42942755542424e-11
"ISG15",5.20991651205814e-15,0.542289266936128,0.5,0.315,9.12881571242828e-11
"ARF4",5.86974286164496e-15,0.278424355095912,0.646,0.497,1.02849634421743e-10
"HSPA8",6.99916538879702e-15,0.308688182942911,0.876,0.781,1.22639375942501e-10
"CRYM",9.10755669289746e-15,0.0972710707903841,0.081,0.001,1.59582608372949e-10
"HNRNPU",1.03697418375127e-14,0.312788921347675,0.748,0.62,1.81698616476897e-10
"SIX3",1.3744533751826e-14,0.106233761801189,0.092,0.005,2.40831720399496e-10
"SPP1",2.00302873578672e-14,0.127524010468515,0.088,0.004,3.50970695084549e-10
"PSME2",2.18590538883383e-14,0.408033249573474,0.502,0.345,3.83014342231464e-10
"TNFSF13B",2.39252354929246e-14,0.206215150890613,0.149,0.03,4.19217976307024e-10
"PARP14",2.97914989019216e-14,0.294417736783883,0.459,0.273,5.2200664375947e-10
"ISL1",4.15976967512514e-14,0.0927866271411089,0.097,0.008,7.28874842475427e-10
"SFPQ",4.8958997562371e-14,0.264728455031602,0.608,0.453,8.57859555287865e-10
"MYL12A",5.30554931407436e-14,0.283710982619912,0.829,0.685,9.29638350812109e-10
"MDK",5.69790237097834e-14,0.419047702442626,0.669,0.579,9.98386453442826e-10
"XRRA1",7.42238275740663e-14,0.129698747730472,0.176,0.046,1.30054990675279e-09
"MX1",9.09413769800452e-14,0.210720787389386,0.203,0.063,1.59347480744435e-09
"B4GALT1",1.05014505584239e-13,0.254793605978895,0.399,0.216,1.84006416684703e-09
"HNRNPD",1.10453916552448e-13,0.241051829717756,0.536,0.354,1.93537352583199e-09
"APOL2",1.1508838515582e-13,0.179832406577444,0.203,0.064,2.01657868470028e-09
"FUBP1",1.1844064392834e-13,0.182219378394824,0.261,0.102,2.07531696291238e-09
"TUBB",1.25158681782861e-13,0.274482197403135,0.68,0.577,2.19303042219928e-09
"PDIA3",1.68874738077992e-13,0.256008039064943,0.777,0.695,2.95902316060257e-09
"COL6A6",2.43117845054837e-13,0.154080110687114,0.081,0.004,4.25991088105085e-09
"ALCAM",4.67996144664325e-13,0.31189640549469,0.25,0.101,8.2002284468083e-09
"IFI27",6.78230369000904e-13,0.463934385686934,0.556,0.388,1.18839525256338e-08
"ZFP36",7.46506659021088e-13,0.398199300766324,0.66,0.482,1.30802896793675e-08
"TUBB4B",1.06064790269501e-12,0.230046159586749,0.541,0.351,1.8584672551022e-08
"GBP2",1.12084021778771e-12,0.2762483280431,0.331,0.166,1.96393622960763e-08
"DPYSL3",1.70820372196461e-12,0.23221210215346,0.288,0.131,2.99311456162639e-08
"CGNL1",1.84439957449506e-12,0.214439976185563,0.3,0.14,3.23175693443024e-08
"ABI3BP",2.10934673972006e-12,0.501406492261754,0.309,0.151,3.69599735733748e-08
"MT-ND6",3.32356978998811e-12,0.204292857470703,0.315,0.153,5.82355898601717e-08
"IDO1",4.9875648138352e-12,0.127490970555025,0.088,0.009,8.73921106680204e-08
"BST2",5.70526031384987e-12,0.47329260389207,0.745,0.68,9.99675712192775e-08
"CCDC47",7.96809452443282e-12,0.18325363373408,0.399,0.223,1.39616952257112e-07
"NFKBIA",8.24020383510878e-12,0.277299768988281,0.577,0.402,1.44384851598776e-07
"ARL15",9.4419809588902e-12,0.135968360744068,0.18,0.058,1.65442390361674e-07
"KCNK2",9.94269399371549e-12,0.0967476475907866,0.108,0.018,1.74215884157883e-07
"BHLHE41",1.00370166934617e-11,0.229447126474402,0.347,0.181,1.75868606502836e-07
