"","status","family","pval","qval","gene_short_name","num_cells_expressed"
"FN1","OK","negbinomial.size",0,0,"FN1",757
"CXCL1","OK","negbinomial.size",0,0,"CXCL1",444
"MT2A","OK","negbinomial.size",0,0,"MT2A",1021
"SLPI","OK","negbinomial.size",0,0,"SLPI",599
"IGLC2","OK","negbinomial.size",0,0,"IGLC2",591
"IGLC3","OK","negbinomial.size",0,0,"IGLC3",718
"IGHA1","OK","negbinomial.size",2.77984129270448e-281,5.44769469333144e-278,"IGHA1",617
"CTHRC1","OK","negbinomial.size",8.55464149260156e-221,1.46690714994385e-217,"CTHRC1",489
"IGF1","OK","negbinomial.size",3.08242512761232e-220,4.69830087784286e-217,"IGF1",700
"S100A9","OK","negbinomial.size",1.58428444421491e-219,2.17332140057401e-216,"S100A9",946
"S100A8","OK","negbinomial.size",8.07199890522622e-211,1.00665164528994e-207,"S100A8",860
"CXCL9","OK","negbinomial.size",2.2330236567319e-180,2.55271821025402e-177,"CXCL9",70
"S100A2","OK","negbinomial.size",8.87435657696837e-161,9.36449411714247e-158,"S100A2",610
"KRT14","OK","negbinomial.size",1.01095573467024e-151,9.90592197729023e-149,"KRT14",415
"IGHM","OK","negbinomial.size",1.28456501164566e-146,1.17477752198367e-143,"IGHM",29
"WFDC2","OK","negbinomial.size",1.82125723752781e-132,1.56150042402541e-129,"WFDC2",487
"TFF3","OK","negbinomial.size",7.62679231168988e-129,6.15437276069187e-126,"TFF3",199
"S100A7","OK","negbinomial.size",7.42898832332197e-120,5.66171454551837e-117,"S100A7",452
"HLA-A","OK","negbinomial.size",8.50805300013125e-115,6.14281426609476e-112,"HLA-A",1166
"COL4A1","OK","negbinomial.size",1.17125552620739e-112,8.03364165425649e-110,"COL4A1",979
"B2M","OK","negbinomial.size",1.37365703364058e-109,8.97325104165788e-107,"B2M",1204
"SAA1","OK","negbinomial.size",2.16491972493346e-108,1.34992585393805e-105,"SAA1",289
"JUNB","OK","negbinomial.size",2.70715738443264e-104,1.6146428260716e-101,"JUNB",1046
"IGFBP2","OK","negbinomial.size",3.60082513835171e-104,2.05817163532953e-101,"IGFBP2",888
"HLA-C","OK","negbinomial.size",4.86468027863028e-103,2.66934736249001e-100,"HLA-C",1146
"MGP","OK","negbinomial.size",3.80654046737789e-102,2.00838931274961e-99,"MGP",1146
"FABP5","OK","negbinomial.size",5.94247722920749e-102,3.01921861593586e-99,"FABP5",826
"IGHG1","OK","negbinomial.size",1.87134737256422e-99,9.16826544886997e-97,"IGHG1",433
"KRT13","OK","negbinomial.size",4.23428719571672e-97,2.00296385347731e-94,"KRT13",922
"IGHG3","OK","negbinomial.size",6.67659296750377e-92,3.05298341094056e-89,"IGHG3",166
"RPS26","OK","negbinomial.size",2.17864197231686e-91,9.6408421213686e-89,"RPS26",1126
"STAT1","OK","negbinomial.size",2.08602143983258e-88,8.94251315988228e-86,"STAT1",623
"APOE","OK","negbinomial.size",5.31090361087661e-88,2.2077265373941e-85,"APOE",723
"HLA-B","OK","negbinomial.size",2.43579167213142e-87,9.82770298773494e-85,"HLA-B",1158
"SFRP2","OK","negbinomial.size",1.02411583764453e-78,4.01394887451646e-76,"SFRP2",837
"POSTN","OK","negbinomial.size",5.54990006860549e-75,2.11482025392028e-72,"POSTN",455
"KRT6A","OK","negbinomial.size",7.49827268239118e-75,2.78003526100114e-72,"KRT6A",521
"COL4A2","OK","negbinomial.size",9.70075426759189e-75,3.50197229060067e-72,"COL4A2",1037
"CXCL10","OK","negbinomial.size",4.60345003985568e-74,1.61923404222411e-71,"CXCL10",34
"GBP1","OK","negbinomial.size",2.31174267077079e-72,7.92812148940842e-70,"GBP1",378
"HSP90AA1","OK","negbinomial.size",4.68730864916658e-72,1.56830487925042e-69,"HSP90AA1",1151
"ABI3BP","OK","negbinomial.size",6.41635497337092e-71,2.09570375058815e-68,"ABI3BP",304
"CXCL6","OK","negbinomial.size",1.70830415411813e-70,5.44988753167267e-68,"CXCL6",320
"EGR1","OK","negbinomial.size",3.01499089318135e-69,9.39991933469584e-67,"EGR1",914
"CCL5","OK","negbinomial.size",1.23304330038167e-67,3.75886399880795e-65,"CCL5",246
"SCGB2A2","OK","negbinomial.size",4.17641874973729e-67,1.24548070454122e-64,"SCGB2A2",149
"RORB","OK","negbinomial.size",1.36444702951631e-66,3.98244347891589e-64,"RORB",627
"IFI6","OK","negbinomial.size",9.98018364644249e-66,2.85225331795621e-63,"IFI6",676
"COL1A1","OK","negbinomial.size",6.73076189434394e-65,1.88433860544102e-62,"COL1A1",1153
"CXCL11","OK","negbinomial.size",3.80003563009045e-64,1.04257777547161e-61,"CXCL11",39
"RPS8","OK","negbinomial.size",2.91342914547114e-62,7.83655314070062e-60,"RPS8",1182
"HSPA1A","OK","negbinomial.size",8.78750623069148e-61,2.31821173985819e-58,"HSPA1A",1000
"CEMIP","OK","negbinomial.size",8.93911544292023e-60,2.3137129367166e-57,"CEMIP",265
"TMSB4X","OK","negbinomial.size",1.29255176907536e-59,3.28356021632886e-57,"TMSB4X",1204
"MT-CO3","OK","negbinomial.size",1.43918431142677e-55,3.58958734257316e-53,"MT-CO3",1186
"SFRP4","OK","negbinomial.size",1.63248998325922e-53,3.99901742684821e-51,"SFRP4",632
"DUSP1","OK","negbinomial.size",2.28447583434219e-53,5.49797184131686e-51,"DUSP1",893
"MT-ND1","OK","negbinomial.size",3.18319404675045e-53,7.52880274712459e-51,"MT-ND1",1156
"VCAN","OK","negbinomial.size",1.24526436718785e-52,2.89534518459033e-50,"VCAN",884
"IFI27","OK","negbinomial.size",3.9688400404798e-51,9.07409127921698e-49,"IFI27",698
"SAA2","OK","negbinomial.size",2.67915034587784e-50,6.025013843402e-48,"SAA2",129
"ACTB","OK","negbinomial.size",1.25446616783841e-49,2.77560756296892e-47,"ACTB",1188
"PSMB9","OK","negbinomial.size",1.61026327500745e-49,3.50628438199241e-47,"PSMB9",633
"IGHG4","OK","negbinomial.size",2.10435767895368e-49,4.51055916248227e-47,"IGHG4",339
"IGHG2","OK","negbinomial.size",3.78972831247015e-48,7.998075844687e-46,"IGHG2",166
"ISG15","OK","negbinomial.size",1.45474743885922e-47,3.02367051004103e-45,"ISG15",737
"IGKC","OK","negbinomial.size",1.63338366240318e-47,3.34429210161892e-45,"IGKC",850
"RPL7A","OK","negbinomial.size",1.66479325374068e-47,3.35847556688451e-45,"RPL7A",1190
"CHI3L1","OK","negbinomial.size",2.12022595011518e-47,4.21525501212754e-45,"CHI3L1",287
"SERPINB3","OK","negbinomial.size",2.69004191001803e-47,5.27171356023248e-45,"SERPINB3",289
"KRT5","OK","negbinomial.size",5.58174601854943e-47,1.07845622369664e-44,"KRT5",523
"TPSB2","OK","negbinomial.size",7.84032753885889e-47,1.4938001830287e-44,"TPSB2",72
"VIM","OK","negbinomial.size",1.91319341661121e-46,3.5952311354894e-44,"VIM",1192
"COL18A1","OK","negbinomial.size",1.81295278262555e-45,3.36082246919694e-43,"COL18A1",978
"FOSB","OK","negbinomial.size",1.93085180760249e-45,3.5316566795588e-43,"FOSB",951
"ID3","OK","negbinomial.size",6.29806307561031e-45,1.13680038514766e-42,"ID3",835
"IRF1","OK","negbinomial.size",2.69461487928548e-44,4.80061388494003e-42,"IRF1",736
"DPT","OK","negbinomial.size",6.66969559813623e-44,1.17301133609273e-41,"DPT",343
"PDGFRA","OK","negbinomial.size",7.68380540799274e-44,1.33425876692208e-41,"PDGFRA",804
"TUBA1A","OK","negbinomial.size",1.01545289880295e-43,1.74031984476804e-41,"TUBA1A",977
"BST2","OK","negbinomial.size",1.02759810049724e-43,1.74031984476804e-41,"BST2",956
"TUBA1B","OK","negbinomial.size",7.00420902513407e-43,1.17175291959499e-40,"TUBA1B",886
"DNAJB1","OK","negbinomial.size",2.05636583454337e-42,3.39870199015253e-40,"DNAJB1",849
"RPLP1","OK","negbinomial.size",3.01695163437372e-42,4.92696934765936e-40,"RPLP1",1203
"MT-ND2","OK","negbinomial.size",7.40707124396022e-42,1.19541415676054e-39,"MT-ND2",1153
