Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0051085~chaperone cofactor-dependent protein refolding	8	7.547169811320755	5.480952841900584E-10	HSPA8, DNAJB1, CD74, HSPH1, HSPA5, HSPE1, HSPA1B, HSPA1A	105	35	19734	42.95836734693878	6.456559795697814E-7	6.456562447758889E-7	6.160590994296257E-7
GOTERM_BP_DIRECT	GO:0042026~protein refolding	7	6.60377358490566	7.972193672069422E-9	DNAJA1, HSPA8, HSP90AA1, HSPA5, B2M, HSPA1B, HSPA1A	105	29	19734	45.365517241379315	9.391200098352037E-6	4.69562207284889E-6	4.480372843703015E-6
GOTERM_BP_DIRECT	GO:0001916~positive regulation of T cell mediated cytotoxicity	7	6.60377358490566	7.170035974370073E-8	HSPA8, HLA-B, HLA-C, HLA-A, HLA-F, B2M, HLA-E	105	41	19734	32.08780487804878	8.445945992496817E-5	2.8154341259359823E-5	2.686373478397321E-5
GOTERM_BP_DIRECT	GO:0006986~response to unfolded protein	7	6.60377358490566	6.654813078957016E-7	DNAJA1, HSPA8, DNAJB1, HSP90AA1, HSPH1, HSPE1, HSPA1A	105	59	19734	22.298305084745763	7.836300430921206E-4	1.9598424517528414E-4	1.8700024751869217E-4
GOTERM_BP_DIRECT	GO:0044849~estrous cycle	5	4.716981132075472	2.6546256232344374E-6	HSPA8, EGR1, MDK, CYP1B1, PTN	105	19	19734	49.45864661654135	0.0031222686842915515	5.561595878053131E-4	5.306650056818098E-4
GOTERM_BP_DIRECT	GO:0002476~antigen processing and presentation of endogenous peptide antigen via MHC class Ib	5	4.716981132075472	3.304853238231911E-6	HLA-B, HLA-C, HLA-A, HLA-F, HLA-E	105	20	19734	46.98571428571429	0.003885555166939225	5.561595878053131E-4	5.306650056818098E-4
GOTERM_BP_DIRECT	GO:0002486~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	5	4.716981132075472	3.304853238231911E-6	HLA-B, HLA-C, HLA-A, HLA-F, HLA-E	105	20	19734	46.98571428571429	0.003885555166939225	5.561595878053131E-4	5.306650056818098E-4
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	10	9.433962264150944	4.715228707558086E-6	BST2, IFITM1, CXCL9, IFI27, STAT1, IRF1, IFI6, ISG15, GBP2, GBP1	105	238	19734	7.896758703481392	0.005539154509107469	6.414787761098954E-4	6.120731276294758E-4
GOTERM_BP_DIRECT	GO:0002502~peptide antigen assembly with MHC class I protein complex	4	3.7735849056603774	4.900941413403276E-6	PDIA3, HLA-A, CALR, B2M	105	7	19734	107.39591836734694	0.005756689528106151	6.414787761098954E-4	6.120731276294758E-4
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	21	19.81132075471698	7.683140178626218E-6	EGR1, ARF4, JUN, JUND, DDX3X, HSPA5, STAT1, HNRNPU, FOS, IGF1, ESR1, NFKBIA, GREM1, CXCL10, NR4A1, SFPQ, MAFB, IRF1, FOSB, JUNB, IER2	105	1256	19734	3.1423566878980895	0.009009938934432804	9.050739130421685E-4	8.635849560775869E-4
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription by RNA polymerase II	18	16.9811320754717	1.095112942321221E-5	EGR1, JUN, DDX5, BTG2, JUND, STAT1, HNRNPU, ESR1, DNAJB1, ZFP36, SFPQ, MAFB, IFI27, TRPS1, HNRNPA2B1, FOSB, CALR, HSPA1A	105	963	19734	3.512950600801068	0.012817646306008568	0.0011449105861777674	0.0010924274183903315
