,p_val,avg_logFC,pct.1,pct.2,p_val_adj
HSPE1,3.94486327718348e-34,0.435672678736168,0.937,0.838,5.75437206242754e-30
HSPA5,1.58824040786931e-31,0.47493574255117,0.919,0.816,2.31676628295897e-27
HSPA8,7.84553676938606e-25,0.375100092862667,0.965,0.967,1.14442844855034e-20
HSP90B1,6.77630322367167e-24,0.326977925159345,0.997,0.982,9.88459351236987e-20
HSP90AA1,4.12498536232894e-22,0.424441014505381,1,0.998,6.01711614802922e-18
LDHA,1.20780393350022e-20,0.307309352690569,0.94,0.859,1.76182359779677e-16
PRDX1,1.71364053880061e-19,0.253857685581249,0.973,0.96,2.49968745394845e-15
HSPD1,1.89551453193075e-19,0.327048571224965,0.929,0.844,2.76498704772739e-15
NME1,1.12586414905753e-18,0.311430031473602,0.541,0.315,1.64229803423022e-14
ENO1,6.88446383121285e-16,0.28949521387364,0.867,0.829,1.00423673905902e-11
SCD,2.11051750141552e-15,0.262064655739751,0.235,0.071,3.07861187931482e-11
CALR,4.0450356156376e-15,0.255245381757962,0.959,0.937,5.90049345253056e-11
PSME2,7.80559345656804e-15,0.390374459941775,0.793,0.707,1.13860191750958e-10
CRELD2,9.86819122367694e-15,0.235321931263372,0.489,0.278,1.43947305379776e-10
TYMP,1.43635570147648e-14,0.324059961718494,0.857,0.775,2.09521206174375e-10
COL3A1,1.82006172789213e-14,-0.41038932569881,0.997,1,2.65492404247625e-10
H3-3B,1.96895780448609e-14,0.196412707150579,1,0.998,2.87211874940386e-10
CACYBP,4.41255322826996e-14,0.230346878442396,0.546,0.341,6.43659139407739e-10
PSMA7,1.04887584255758e-13,0.188461030231195,0.98,0.97,1.52999519153874e-09
SPARC,1.0540144451373e-13,-0.344574409192402,0.972,0.99,1.53749087112178e-09
PPA1,1.12595926748779e-13,0.287838698284176,0.751,0.642,1.64243678348444e-09
DUSP1,1.19629775005002e-13,0.45324185810078,0.867,0.798,1.74503952799797e-09
PDIA6,4.99499184687917e-13,0.228799830711757,0.949,0.929,7.28619460704264e-09
IER5,7.35214624766241e-13,0.248252213556889,0.43,0.243,1.07245757314652e-08
IGLC3,7.51581183322768e-13,0.616320242480053,0.587,0.801,1.09633147211292e-08
CDK2AP2,1.43122489427625e-12,0.189410401883946,0.39,0.207,2.08772775328077e-08
DNAJA1,1.5725163476823e-12,0.262166699022304,0.952,0.921,2.29382959636417e-08
SNRPA1,1.669559107258e-12,0.173035416933799,0.405,0.21,2.43538586975725e-08
NDUFA9,1.73874801613673e-12,0.164925990404406,0.363,0.18,2.53631173113865e-08
MRPL22,1.92970872576831e-12,0.181542503203703,0.479,0.278,2.81486611827824e-08
HLA-C,1.95482211087665e-12,0.338452110905275,0.998,0.993,2.85149901313578e-08
NFKB2,1.99320454229722e-12,0.170353392037267,0.295,0.129,2.90748746584895e-08
NR4A2,2.09154189715777e-12,0.292894920302492,0.303,0.137,3.05093216538404e-08
LTV1,2.15693133874713e-12,0.152074011482839,0.282,0.119,3.14631574383045e-08
ODC1,2.30331830817682e-12,0.184208734087305,0.312,0.142,3.35985041613752e-08
SRPRB,2.4686455935024e-12,0.192329337219004,0.426,0.237,3.60101332724194e-08
MRPL12,3.23909710368315e-12,0.166993479992603,0.393,0.207,4.72487094514262e-08
LDLR,4.03889836863424e-12,0.226914718214175,0.328,0.161,5.89154105032676e-08
UGDH,4.82182699462744e-12,0.180705232656615,0.386,0.204,7.03359903706305e-08
HSPA1A,7.47531659175433e-12,0.500729666254951,0.932,0.939,1.0904244312392e-07
TXNIP,8.11332823192053e-12,-0.254973149668696,0.915,0.98,1.18349118919025e-07
PHLDA2,8.66332674305623e-12,0.279708180598449,0.464,0.286,1.26371947200961e-07
SPCS2,9.29306462197368e-12,0.235095842532128,0.91,0.866,1.3555793364073e-07
STIP1,1.03928888523544e-11,0.169583728579006,0.413,0.228,1.51601069689294e-07
IER2,1.45680592835658e-11,0.453436003131963,0.902,0.909,2.12504280769375e-07
HIGD1A,1.65481623208654e-11,0.173576782241801,0.38,0.205,2.41388043774464e-07
SEC61B,1.84511315646421e-11,0.189963938399524,0.985,0.972,2.69146656133434e-07
HSP90AB1,2.06146583598138e-11,0.192820837221111,0.998,1,3.00706021494605e-07
DCTPP1,2.13331708148893e-11,0.15170595256067,0.295,0.136,3.1118696267679e-07
SQLE,2.28104288320354e-11,0.274447247792888,0.373,0.205,3.32735725372901e-07
POP7,2.3324729202545e-11,0.165311649169332,0.37,0.197,3.40237824877523e-07
PYCR1,2.33794281326669e-11,0.138622856280787,0.191,0.063,3.41035718171212e-07
SDF2L1,2.81121896385928e-11,0.249784175794356,0.443,0.278,4.10072510258154e-07
COL1A2,2.88792414598068e-11,-0.446281856156206,0.995,1,4.21261495174202e-07
IGLC2,2.96434234389834e-11,2.11347106946305,0.434,0.659,4.32408617704451e-07
PNO1,3.67411647952192e-11,0.152508708970774,0.267,0.116,5.35943370867862e-07
IGKC,3.74696470404069e-11,1.41965252313655,0.682,0.874,5.46569741378416e-07
WARS1,4.51480484169344e-11,0.26061000521855,0.345,0.182,6.58574582257823e-07
HSPH1,6.22770214489236e-11,0.382454615726692,0.683,0.578,9.08434911875449e-07
HNRNPA3,7.09760016380953e-11,0.211738159187159,0.939,0.892,1.0353269358949e-06
GAPDH,8.13163845476769e-11,0.190840613163607,1,0.997,1.18616210139696e-06
ALDH18A1,1.0713106921235e-10,0.133152298727995,0.222,0.086,1.56272090660055e-06
SEC11C,1.1315409667322e-10,0.248959387998575,0.368,0.202,1.65057880817227e-06
GARS1,1.40669362921711e-10,0.17185442458637,0.335,0.177,2.051943996939e-06
MAGOH,1.4502207764783e-10,0.171044809217016,0.488,0.303,2.1154370466489e-06
GPATCH4,1.55444188559438e-10,0.164034877034249,0.299,0.147,2.26746437851653e-06
IGHA1,1.56051435448974e-10,0.535063125935235,0.474,0.661,2.27632228889418e-06
TRIB1,1.56682290027882e-10,0.163961007897685,0.257,0.114,2.28552456463671e-06
CSRNP1,1.57069063211199e-10,0.158289071886273,0.249,0.108,2.29116642506176e-06
PDIA3,1.59355671308391e-10,0.203384659510245,0.96,0.921,2.3245211773755e-06
TIMM10B,1.74761889699378e-10,0.146290274047998,0.333,0.171,2.54925168504483e-06
FADS2,1.8626669001844e-10,0.17939889674256,0.355,0.19,2.71707220729898e-06
TUBA1C,2.08397849171537e-10,0.311581222393131,0.453,0.295,3.03989942586521e-06
SRPRA,2.16781157803494e-10,0.175385192958489,0.514,0.336,3.16218674887957e-06
PLAUR,2.54783135376871e-10,0.183347842118172,0.381,0.214,3.71652159574242e-06
IDI1,4.04593745309806e-10,0.231961961076108,0.415,0.257,5.90180896283414e-06
HNRNPAB,4.286895843409e-10,0.213586570592778,0.791,0.72,6.25329496678071e-06
SERP1,4.28718321659959e-10,0.173507258134289,0.909,0.848,6.25371415805382e-06
ORMDL2,5.05770005072733e-10,0.132710077817685,0.28,0.134,7.37766706399596e-06
SELENOP,5.35195566989909e-10,-0.212565884348201,0.816,0.914,7.8068977356818e-06
TUBA1B,6.170064308297e-10,0.451529997805234,0.836,0.808,9.00027280651284e-06
LRRC59,6.57589679714479e-10,0.181893051510563,0.403,0.245,9.5922606579951e-06
ALYREF,6.60929108173092e-10,0.135013553373625,0.295,0.144,9.6409729009209e-06
CYB561,7.64638085282696e-10,0.119270903671221,0.192,0.071,1.11537757500187e-05
LMNB2,8.8633533133085e-10,0.1166231335929,0.146,0.043,1.29289734781231e-05
KDM6B,8.98894612539086e-10,0.168496193853207,0.287,0.142,1.31121757131076e-05
PUF60,9.24106978068997e-10,0.152301701348014,0.516,0.331,1.34799484890925e-05
ATP5MC1,9.54137013146811e-10,0.213864842081811,0.781,0.724,1.39179966107725e-05
S100A9,9.72153949569643e-10,0.344144356812773,0.74,0.902,1.41808096623724e-05
PFN1,1.12087949880523e-09,0.178874114395916,0.983,0.987,1.6350269249072e-05
IFRD2,1.18368131317865e-09,0.128199216953895,0.25,0.116,1.72663593153369e-05
JUN,1.42886933781505e-09,0.335970195023073,0.95,0.955,2.08429170307081e-05
DNAJB9,1.48851141640169e-09,0.167671044175382,0.398,0.233,2.17129160310514e-05
TWISTNB,1.56543447091038e-09,0.200865402697075,0.471,0.311,2.28349926271698e-05
HSPA1B,1.62076077093963e-09,0.411015363840967,0.811,0.763,2.36420373656964e-05
JUNB,1.671834742727e-09,0.40237774065276,0.954,0.922,2.43870533921588e-05
SERPINH1,1.69608378904609e-09,0.261385446313382,0.899,0.886,2.47407742308153e-05
