"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"HSPE1",3.94486327718348e-34,0.435672678736168,0.937,0.838,5.75437206242754e-30
"HSPA5",1.58824040786931e-31,0.47493574255117,0.919,0.816,2.31676628295897e-27
"HSPA8",7.84553676938606e-25,0.375100092862667,0.965,0.967,1.14442844855034e-20
"HSP90B1",6.77630322367167e-24,0.326977925159345,0.997,0.982,9.88459351236987e-20
"HSP90AA1",4.12498536232894e-22,0.424441014505381,1,0.998,6.01711614802922e-18
"LDHA",1.20780393350022e-20,0.307309352690569,0.94,0.859,1.76182359779677e-16
"PRDX1",1.71364053880061e-19,0.253857685581249,0.973,0.96,2.49968745394845e-15
"HSPD1",1.89551453193075e-19,0.327048571224965,0.929,0.844,2.76498704772739e-15
"NME1",1.12586414905753e-18,0.311430031473602,0.541,0.315,1.64229803423022e-14
"ENO1",6.88446383121285e-16,0.28949521387364,0.867,0.829,1.00423673905902e-11
"SCD",2.11051750141552e-15,0.262064655739751,0.235,0.071,3.07861187931482e-11
"CALR",4.0450356156376e-15,0.255245381757962,0.959,0.937,5.90049345253056e-11
"PSME2",7.80559345656804e-15,0.390374459941775,0.793,0.707,1.13860191750958e-10
"TYMP",1.43635570147648e-14,0.324059961718494,0.857,0.775,2.09521206174375e-10
"PPA1",1.12595926748779e-13,0.287838698284176,0.751,0.642,1.64243678348444e-09
"DUSP1",1.19629775005002e-13,0.45324185810078,0.867,0.798,1.74503952799797e-09
"IGLC3",7.51581183322768e-13,0.616320242480053,0.587,0.801,1.09633147211292e-08
"DNAJA1",1.5725163476823e-12,0.262166699022304,0.952,0.921,2.29382959636417e-08
"HLA-C",1.95482211087665e-12,0.338452110905275,0.998,0.993,2.85149901313578e-08
"NR4A2",2.09154189715777e-12,0.292894920302492,0.303,0.137,3.05093216538404e-08
"HSPA1A",7.47531659175433e-12,0.500729666254951,0.932,0.939,1.0904244312392e-07
"PHLDA2",8.66332674305623e-12,0.279708180598449,0.464,0.286,1.26371947200961e-07
"IER2",1.45680592835658e-11,0.453436003131963,0.902,0.909,2.12504280769375e-07
"SQLE",2.28104288320354e-11,0.274447247792888,0.373,0.205,3.32735725372901e-07
"IGLC2",2.96434234389834e-11,2.11347106946305,0.434,0.659,4.32408617704451e-07
"IGKC",3.74696470404069e-11,1.41965252313655,0.682,0.874,5.46569741378416e-07
"WARS1",4.51480484169344e-11,0.26061000521855,0.345,0.182,6.58574582257823e-07
"HSPH1",6.22770214489236e-11,0.382454615726692,0.683,0.578,9.08434911875449e-07
"IGHA1",1.56051435448974e-10,0.535063125935235,0.474,0.661,2.27632228889418e-06
"TUBA1C",2.08397849171537e-10,0.311581222393131,0.453,0.295,3.03989942586521e-06
"TUBA1B",6.170064308297e-10,0.451529997805234,0.836,0.808,9.00027280651284e-06
"S100A9",9.72153949569643e-10,0.344144356812773,0.74,0.902,1.41808096623724e-05
"JUN",1.42886933781505e-09,0.335970195023073,0.95,0.955,2.08429170307081e-05
"HSPA1B",1.62076077093963e-09,0.411015363840967,0.811,0.763,2.36420373656964e-05
"JUNB",1.671834742727e-09,0.40237774065276,0.954,0.922,2.43870533921588e-05
"SERPINH1",1.69608378904609e-09,0.261385446313382,0.899,0.886,2.47407742308153e-05
"NFKBIA",2.19103520150342e-09,0.326028830894755,0.796,0.745,3.19606304843303e-05
"EGR1",2.26499654575669e-09,0.374195371802888,0.847,0.834,3.30395046129528e-05
"HLA-B",2.67731688971027e-09,0.324568406996225,0.998,0.997,3.90540214702037e-05
"PTGS2",3.29447087510381e-09,0.282162352745771,0.312,0.169,4.80564466551393e-05
"CYCS",4.7237668822626e-09,0.257243454265895,0.653,0.57,6.89055875115645e-05
"SRGN",6.69896928535525e-09,0.423188212407456,0.312,0.172,9.7717864965477e-05
"BTG2",8.34158526165378e-09,0.440455354400614,0.683,0.624,0.000121678704211744
"XBP1",9.45845073422231e-09,0.250553048624254,0.673,0.588,0.000137970420860101
"DNAJB1",1.11017721936738e-08,0.426716946484261,0.808,0.776,0.000161941550989119
"SAT1",1.21324436426734e-08,0.347949132386244,0.891,0.886,0.000176975955415677
"TNFRSF12A",1.29698346129083e-08,0.282534222161027,0.33,0.194,0.000189190977498493
"TUBB4B",2.44473857664905e-08,0.32042265721718,0.736,0.722,0.000356614016175797
"CXCL11",7.90701621808567e-08,0.278916280983316,0.06,0.005,0.00115339645573216
"SERPINE1",1.65887289908702e-07,0.305398714676756,0.277,0.152,0.00241979789789824
"S100A8",1.970465778519e-07,0.440958106564889,0.677,0.848,0.00287431843112566
"TNFAIP3",4.10285320529546e-07,0.291357819838871,0.33,0.205,0.00598483197056449
"MSMO1",4.74415358659773e-07,0.265274660449614,0.279,0.167,0.00692029683677011
"FOSB",5.10842542636459e-07,0.279817253179412,0.877,0.871,0.00745166016943803
"NFKBIZ",6.75695113487662e-07,0.284572295821757,0.551,0.457,0.00985636462044453
"KRT13",9.13298493954673e-07,0.564110184267103,0.788,0.882,0.0133222851313168
"IL32",1.11619406181941e-06,0.308605172283147,0.697,0.652,0.0162819227797598
"MT1X",1.2208745984503e-06,0.254890815874339,0.488,0.361,0.0178088977675945
"S100A2",2.67111965996117e-06,0.615755072563313,0.468,0.641,0.0389636224798535
