"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","NK/T cells","NK/T cells","TGFB1","TGFbR1_R2",4.876210170873e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Macrophage cells","NK/T cells","TGFB1","TGFbR1_R2",2.03273949743319e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","Mast cells","NK/T cells","TGFB1","TGFbR1_R2",1.87892372810312e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","B cells","NK/T cells","TGFB1","TGFbR1_R2",2.30868842376324e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","Endothelial cells","NK/T cells","TGFB1","TGFbR1_R2",1.906544539291e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","NK/T cells","Macrophage cells","TGFB1","TGFbR1_R2",4.37408803243364e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","Macrophage cells","Macrophage cells","TGFB1","TGFbR1_R2",1.82307096069179e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"8","Fibroblast cells","Macrophage cells","TGFB1","TGFbR1_R2",1.91656024416145e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"9","Mast cells","Macrophage cells","TGFB1","TGFbR1_R2",1.68481539655998e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"10","B cells","Macrophage cells","TGFB1","TGFbR1_R2",2.07107381701787e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"11","Endothelial cells","Macrophage cells","TGFB1","TGFbR1_R2",1.70892917018614e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"12","NK/T cells","Fibroblast cells","TGFB1","TGFbR1_R2",2.30131891769094e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"13","Macrophage cells","Fibroblast cells","TGFB1","TGFbR1_R2",9.5931076555254e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"14","Mast cells","Fibroblast cells","TGFB1","TGFbR1_R2",8.86688071365389e-08,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"15","Endothelial cells","Fibroblast cells","TGFB1","TGFbR1_R2",8.99653242945245e-08,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"16","NK/T cells","Mast cells","TGFB1","TGFbR1_R2",1.10547650930186e-06,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"17","Macrophage cells","Mast cells","TGFB1","TGFbR1_R2",4.60837956174275e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"18","Mast cells","Mast cells","TGFB1","TGFbR1_R2",4.25966173461797e-08,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"19","Endothelial cells","Mast cells","TGFB1","TGFbR1_R2",4.32226854670348e-08,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"20","NK/T cells","B cells","TGFB1","TGFbR1_R2",2.65645170225296e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"21","Macrophage cells","B cells","TGFB1","TGFbR1_R2",1.10738928976357e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"22","Mast cells","B cells","TGFB1","TGFbR1_R2",1.02359199039945e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"23","Endothelial cells","B cells","TGFB1","TGFbR1_R2",1.03863476901709e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"24","NK/T cells","Endothelial cells","TGFB1","TGFbR1_R2",4.25259849450619e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"25","Macrophage cells","Endothelial cells","TGFB1","TGFbR1_R2",1.77199236143781e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"26","Fibroblast cells","Endothelial cells","TGFB1","TGFbR1_R2",1.86295938225177e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"27","Mast cells","Endothelial cells","TGFB1","TGFbR1_R2",1.63722370051388e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"28","B cells","Endothelial cells","TGFB1","TGFbR1_R2",2.01370223337306e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"29","Endothelial cells","Endothelial cells","TGFB1","TGFbR1_R2",1.6598292028119e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"30","NK/T cells","NK/T cells","TGFB2","TGFbR1_R2",6.98051495956697e-06,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"31","Macrophage cells","NK/T cells","TGFB2","TGFbR1_R2",2.96161619873078e-06,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"32","Fibroblast cells","NK/T cells","TGFB2","TGFbR1_R2",4.36206148176196e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"33","Mast cells","NK/T cells","TGFB2","TGFbR1_R2",2.68522457352941e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
