"","source","target","pathway_name","prob","pval"
"1","B cells","B cells","BAFF",1.34844632062373e-06,0
"2","B cells","B cells","CXCL",6.4043379993739e-06,0.005
"3","B cells","B cells","EGF",3.72445812781244e-09,0
"4","B cells","B cells","GAS",5.7434846668271e-08,0
"5","B cells","B cells","GRN",1.96180358517943e-08,0
"6","B cells","B cells","IL16",2.72580352551231e-09,0
"7","B cells","B cells","IL4",2.0940124044689e-08,0
"8","B cells","B cells","LT",9.94548901983221e-08,0
"9","B cells","B cells","MIF",2.28903101235754e-06,0.01
"10","B cells","B cells","TGFb",4.36771553233001e-08,0.01
"11","B cells","B cells","VEGF",3.13549519631833e-08,0.01
"12","B cells","Endothelial cells","ACTIVIN",4.82090324298904e-11,0
"13","B cells","Endothelial cells","BAFF",4.95239344261463e-09,0.00666666666666667
"14","B cells","Endothelial cells","BMP",1.0102917122069e-09,0
"15","B cells","Endothelial cells","CCL",3.01669774623381e-07,0
"16","B cells","Endothelial cells","CD40",3.65521327085634e-09,0
"17","B cells","Endothelial cells","CXCL",9.8077604583471e-07,0
"18","B cells","Endothelial cells","EGF",1.07773233722221e-08,0
"19","B cells","Endothelial cells","FGF",1.13360005361588e-10,0
"20","B cells","Endothelial cells","FLT3",6.62395509665777e-13,0.02
"21","B cells","Endothelial cells","GAS",1.74323402940632e-08,0
"22","B cells","Endothelial cells","GRN",6.82266805987096e-09,0
"23","B cells","Endothelial cells","HGF",1.40436743169885e-10,0
"24","B cells","Endothelial cells","IGF",5.08259307250309e-08,0
"25","B cells","Endothelial cells","IL16",1.04450238106753e-09,0
"26","B cells","Endothelial cells","IL4",7.21365131427966e-09,0.005
"27","B cells","Endothelial cells","KIT",1.48954459547453e-11,0
"28","B cells","Endothelial cells","LIGHT",4.56868181207783e-09,0
"29","B cells","Endothelial cells","LT",8.86221845468782e-07,0
"30","B cells","Endothelial cells","MIF",6.03828807050986e-09,0
"31","B cells","Endothelial cells","MSTN",1.0684667671957e-09,0
"32","B cells","Endothelial cells","NRG",1.69325843371404e-11,0
"33","B cells","Endothelial cells","NT",3.79366972816095e-12,0
"34","B cells","Endothelial cells","OSM",8.22776760995173e-11,0
"35","B cells","Endothelial cells","PARs",1.17115144166262e-09,0
"36","B cells","Endothelial cells","PDGF",5.5559525946204e-11,0
"37","B cells","Endothelial cells","TGFb",4.27723871658788e-07,0
"38","B cells","Endothelial cells","VEGF",6.55500484916936e-07,0
"39","B cells","Endothelial cells","VISFATIN",6.55430025400423e-07,0
"40","B cells","Endothelial cells","WNT",1.30821876726703e-10,0
"41","B cells","Epithelial cells","BAFF",4.4714594987664e-08,0
"42","B cells","Epithelial cells","BMP",1.33247803854895e-09,0
"43","B cells","Epithelial cells","CD40",2.59524040473909e-08,0
"44","B cells","Epithelial cells","EGF",4.49870965229116e-06,0
"45","B cells","Epithelial cells","FGF",4.03997220456609e-10,0
"46","B cells","Epithelial cells","GAS",9.51912507550526e-09,0
"47","B cells","Epithelial cells","GRN",1.86208429487326e-07,0
"48","B cells","Epithelial cells","HGF",7.07456799840519e-10,0
"49","B cells","Epithelial cells","IFN-II",5.39251176284505e-09,0
"50","B cells","Epithelial cells","IGF",6.58626583059568e-07,0
"51","B cells","Epithelial cells","IL16",4.23663345929525e-08,0
"52","B cells","Epithelial cells","IL2",1.09246016812243e-07,0
"53","B cells","Epithelial cells","IL4",1.31279918135546e-07,0
"54","B cells","Epithelial cells","KIT",1.36544674223206e-10,0
"55","B cells","Epithelial cells","LT",6.22661784398396e-07,0
"56","B cells","Epithelial cells","MIF",8.91021701500718e-08,0
"57","B cells","Epithelial cells","MSTN",1.97754264594866e-10,0
"58","B cells","Epithelial cells","NRG",6.4254461452315e-09,0
"59","B cells","Epithelial cells","NT",2.74878455366231e-11,0
"60","B cells","Epithelial cells","PARs",3.24289718640048e-08,0
"61","B cells","Epithelial cells","PDGF",7.74043134823156e-10,0
"62","B cells","Epithelial cells","VEGF",3.43758266579993e-07,0.00875
"63","B cells","Epithelial cells","WNT",1.99036096658439e-12,0
"64","B cells","Fibroblast cells","ACTIVIN",1.42714191920217e-10,0
"65","B cells","Fibroblast cells","BAFF",1.64918484589634e-08,0
"66","B cells","Fibroblast cells","BMP",9.89491026017636e-10,0
"67","B cells","Fibroblast cells","CD40",6.74307236012488e-09,0
"68","B cells","Fibroblast cells","COMPLEMENT",1.83433420684438e-12,0
"69","B cells","Fibroblast cells","CXCL",4.36511750383453e-10,0
"70","B cells","Fibroblast cells","EGF",4.91515386168403e-07,0
"71","B cells","Fibroblast cells","FGF",1.32051881420365e-09,0
"72","B cells","Fibroblast cells","FLT3",2.10473580871592e-12,0.02
"73","B cells","Fibroblast cells","GAS",3.36598411231803e-07,0
"74","B cells","Fibroblast cells","GRN",8.28122997679311e-08,0
"75","B cells","Fibroblast cells","HGF",9.54946558880147e-11,0
"76","B cells","Fibroblast cells","IFN-II",1.59095739821912e-09,0
"77","B cells","Fibroblast cells","IGF",9.77933624361884e-09,0
"78","B cells","Fibroblast cells","IL1",1.58005581518857e-11,0
"79","B cells","Fibroblast cells","IL16",1.89438331472542e-09,0
"80","B cells","Fibroblast cells","IL4",2.78641116011146e-09,0
"81","B cells","Fibroblast cells","KIT",6.66659469736367e-11,0
"82","B cells","Fibroblast cells","LT",6.2723961211174e-07,0
"83","B cells","Fibroblast cells","MSTN",2.02840351575423e-09,0
"84","B cells","Fibroblast cells","NRG",1.79837368333607e-10,0
"85","B cells","Fibroblast cells","NT",8.34800189481289e-12,0
"86","B cells","Fibroblast cells","OSM",2.22899222726786e-10,0
"87","B cells","Fibroblast cells","PARs",1.36576454427745e-08,0
"88","B cells","Fibroblast cells","PDGF",7.5693271788606e-09,0
"89","B cells","Fibroblast cells","TGFb",1.59067789193058e-07,0
"90","B cells","Fibroblast cells","VEGF",1.52161227245545e-07,0
"91","B cells","Fibroblast cells","VISFATIN",3.43522228648088e-08,0
"92","B cells","Fibroblast cells","WNT",2.94351649497061e-12,0
"93","B cells","Macrophage cells","ACTIVIN",3.00864374345149e-10,0
"94","B cells","Macrophage cells","ANNEXIN",1.91391415074367e-06,0
"95","B cells","Macrophage cells","BAFF",1.17585029086256e-05,0
"96","B cells","Macrophage cells","BMP",3.15468324189934e-10,0
"97","B cells","Macrophage cells","BTLA",6.56177946030975e-07,0
"98","B cells","Macrophage cells","CD40",6.79059023026613e-08,0
"99","B cells","Macrophage cells","COMPLEMENT",3.64972267762362e-10,0
"100","B cells","Macrophage cells","CSF",5.79834586280088e-09,0
"101","B cells","Macrophage cells","CSF3",1.91687326621617e-09,0.01
"102","B cells","Macrophage cells","CXCL",1.85696726562014e-06,0
"103","B cells","Macrophage cells","EGF",7.69809336473714e-08,0
"104","B cells","Macrophage cells","FGF",4.81907627359373e-12,0
"105","B cells","Macrophage cells","GAS",1.25110562449102e-06,0
"106","B cells","Macrophage cells","GRN",5.46545125742534e-07,0
"107","B cells","Macrophage cells","IFN-II",1.53013508961558e-08,0
"108","B cells","Macrophage cells","IL1",9.19847752854219e-11,0
"109","B cells","Macrophage cells","IL16",3.98481306333339e-06,0
"110","B cells","Macrophage cells","IL4",4.95574654847155e-07,0
"111","B cells","Macrophage cells","LT",1.06790264531772e-05,0
"112","B cells","Macrophage cells","MIF",1.82418011194488e-05,0
"113","B cells","Macrophage cells","MSTN",8.326668148356e-09,0
"114","B cells","Macrophage cells","NRG",8.78265528856769e-11,0.01
"115","B cells","Macrophage cells","NT",1.82031387677681e-12,0
"116","B cells","Macrophage cells","TGFb",4.35436002228097e-06,0
"117","B cells","Macrophage cells","VEGF",7.61010955496525e-07,0
"118","B cells","Mast cells","BAFF",2.98047067212121e-10,0.01
"119","B cells","Mast cells","CD40",3.88129721463561e-10,0
"120","B cells","Mast cells","COMPLEMENT",4.71651738827452e-13,0
"121","B cells","Mast cells","EGF",6.32183091242881e-09,0
"122","B cells","Mast cells","FGF",6.32404897830421e-12,0
"123","B cells","Mast cells","GAS",4.61046030955286e-10,0
"124","B cells","Mast cells","IGF",4.2721239754662e-10,0
"125","B cells","Mast cells","IL16",1.66249947532533e-09,0
"126","B cells","Mast cells","IL4",5.29179781754909e-08,0
"127","B cells","Mast cells","KIT",1.65427942993559e-09,0
"128","B cells","Mast cells","LT",2.78029610420312e-07,0
"129","B cells","Mast cells","MSTN",2.10182444304301e-10,0.01
"130","B cells","Mast cells","NRG",8.30224785723543e-12,0
"131","B cells","Mast cells","NT",8.30787506612062e-12,0
"132","B cells","Mast cells","PDGF",3.72094351707799e-11,0
"133","B cells","Mast cells","TGFb",6.79626503435193e-08,0.00714285714285714
"134","B cells","Mast cells","VEGF",6.35231448750227e-08,0
"135","B cells","NK/T cells","BAFF",4.16298484972201e-08,0
"136","B cells","NK/T cells","BTLA",2.24215350825525e-06,0
"137","B cells","NK/T cells","CD40",5.9568893706449e-08,0
"138","B cells","NK/T cells","CXCL",0.000106990694795001,0
"139","B cells","NK/T cells","EGF",9.69610004995784e-08,0
"140","B cells","NK/T cells","GAS",1.66663713192432e-08,0
"141","B cells","NK/T cells","IL16",3.43760774889545e-08,0
"142","B cells","NK/T cells","IL2",6.95184828796129e-06,0.005
"143","B cells","NK/T cells","IL4",5.45862898005581e-09,0
"144","B cells","NK/T cells","LT",2.46675996147541e-05,0
"145","B cells","NK/T cells","MIF",1.972087325874e-05,0
"146","B cells","NK/T cells","TGFb",4.2977506100748e-06,0.0128571428571429
"147","B cells","Neutrophil cells","ANNEXIN",1.27425708989339e-05,0
"148","B cells","Neutrophil cells","BAFF",5.97900818527952e-06,0
"149","B cells","Neutrophil cells","COMPLEMENT",2.6042687912973e-10,0
"150","B cells","Neutrophil cells","CSF3",2.0679975370837e-08,0
"151","B cells","Neutrophil cells","CXCL",2.06265417383498e-05,0
"152","B cells","Neutrophil cells","EGF",3.86566776815281e-08,0
"153","B cells","Neutrophil cells","GAS",5.5669492763333e-09,0
"154","B cells","Neutrophil cells","GRN",2.1822838599468e-07,0
"155","B cells","Neutrophil cells","IFN-II",1.38376079901334e-09,0
"156","B cells","Neutrophil cells","IL1",2.52161444147893e-10,0
"157","B cells","Neutrophil cells","IL16",1.95622077179051e-08,0
"158","B cells","Neutrophil cells","IL4",4.63220524540947e-07,0
"159","B cells","Neutrophil cells","LT",7.00099360272079e-06,0
"160","B cells","Neutrophil cells","MIF",4.11898352685547e-06,0
"161","B cells","Plasma cells","BAFF",3.53232391791577e-07,0
"162","B cells","Plasma cells","EGF",1.31320942522705e-09,0
"163","B cells","Plasma cells","GAS",3.79525645455835e-10,0
"164","B cells","Plasma cells","IL16",2.87435745618964e-10,0
"165","B cells","Plasma cells","IL4",8.60087143700305e-11,0
"166","Endothelial cells","B cells","ACTIVIN",7.38749971269692e-11,0
"167","Endothelial cells","B cells","ANGPT",2.7375692899437e-08,0
"168","Endothelial cells","B cells","BAFF",9.83806812222923e-10,0.01
"169","Endothelial cells","B cells","BMP",3.33400143518845e-09,0
"170","Endothelial cells","B cells","CXCL",1.58641502833545e-06,0
"171","Endothelial cells","B cells","EGF",1.7489708801949e-09,0
"172","Endothelial cells","B cells","FGF",9.03261642569654e-11,0
"173","Endothelial cells","B cells","FLT3",6.62395509665777e-13,0.02
"174","Endothelial cells","B cells","GAS",1.72233451972857e-08,0
"175","Endothelial cells","B cells","GRN",1.32818496402926e-08,0
"176","Endothelial cells","B cells","HGF",1.40436743169885e-10,0
"177","Endothelial cells","B cells","IGF",5.15506413604835e-09,0
"178","Endothelial cells","B cells","IL4",1.51639551804768e-09,0
"179","Endothelial cells","B cells","KIT",1.48954459547453e-11,0
"180","Endothelial cells","B cells","LIFR",1.62984735282782e-10,0
"181","Endothelial cells","B cells","MIF",2.74391463690154e-06,0
"182","Endothelial cells","B cells","MSTN",2.25580407616421e-09,0
"183","Endothelial cells","B cells","NRG",1.63085528036277e-11,0
"184","Endothelial cells","B cells","NT",4.00063028079664e-12,0
"185","Endothelial cells","B cells","OSM",5.97120919333044e-10,0
"186","Endothelial cells","B cells","PARs",6.75514544306476e-13,0.02
"187","Endothelial cells","B cells","PDGF",4.34857810319432e-10,0
"188","Endothelial cells","B cells","PROS",3.00405445387423e-08,0
"189","Endothelial cells","B cells","SEMA3",3.78672539222384e-11,0
"190","Endothelial cells","B cells","TGFb",2.69160132550174e-07,0
"191","Endothelial cells","B cells","TWEAK",1.20653981082952e-09,0
"192","Endothelial cells","B cells","VEGF",1.0319571142878e-07,0
"193","Endothelial cells","B cells","WNT",3.6547815418998e-11,0
"194","Endothelial cells","Endothelial cells","ACTIVIN",3.21583072487867e-10,0
"195","Endothelial cells","Endothelial cells","ANGPT",3.31568482802753e-07,0
"196","Endothelial cells","Endothelial cells","BMP",8.63045897940269e-08,0
"197","Endothelial cells","Endothelial cells","CCL",5.54353643942172e-09,0
"198","Endothelial cells","Endothelial cells","CD40",2.5089387527143e-09,0
"199","Endothelial cells","Endothelial cells","COMPLEMENT",1.29411260651698e-16,0
"200","Endothelial cells","Endothelial cells","CSF",3.7940557411076e-11,0.03
"201","Endothelial cells","Endothelial cells","CX3C",1.38213359894185e-08,0
"202","Endothelial cells","Endothelial cells","EGF",4.89708348615842e-09,0
