"","SamplingTime","TrainRiskP","TrainRiskAUC","TestRiskP","TestRiskAUC","TCGARiskP","TCGARiskAUC","GEO1RiskP","GEO1RiskAUC","GEO2RiskP","GEO2RiskAUC","GeneNums"
"1",1,1.30710016523395e-12,0.926560064497055,0.00858476966214879,0.679922383989883,2.18611231419064e-11,0.797921673555126,NA,NA,NA,NA,9
"2",2,3.87582558652822e-08,0.924246914889918,0.0641678315759635,0.79113862867943,5.96426907189474e-08,0.856434903500845,NA,NA,NA,NA,12
"3",3,2.47765904250461e-07,0.941038801725006,0.811840322536596,0.621190806009031,0.000154007317743393,0.745948121553054,NA,NA,NA,NA,9
"4",4,0.000222976522699818,0.827191770500728,0.119702898891423,0.666195749707159,0.000598030533171818,0.712360572650813,NA,NA,NA,NA,2
"5",6,2.05079857926984e-07,0.963373863966832,0.000982145525444355,0.696713971780261,9.72037216847889e-09,0.826327857400154,NA,NA,NA,NA,8
"6",7,1.86512724625329e-10,0.965527110047465,0.195816502652723,0.645317814250465,3.59670937339524e-07,0.780036988503848,NA,NA,NA,NA,9
"7",8,5.09799907751503e-09,0.934190662542001,0.0620887489152913,0.687557527004944,2.09497829653147e-07,0.803638648018901,NA,NA,NA,NA,12
"8",9,5.11293511726668e-06,0.913664825504075,0.152887687453746,0.610974947793766,9.849820830286e-06,0.782232383263877,NA,NA,NA,NA,8
"9",11,6.09811377105928e-10,0.899450782476134,0.15971908432591,0.770333461176203,5.26710581533569e-09,0.842665398512693,NA,NA,NA,NA,13
"10",12,2.89164801875685e-09,0.927834329474706,0.272199790567241,0.658472637957109,0.000462067225506618,0.794360103456259,NA,NA,NA,NA,10
"11",13,5.71643722927707e-09,0.936868299443437,0.0394585153088858,0.675895004535831,5.64913058172436e-07,0.787449696887655,NA,NA,NA,NA,7
"12",14,8.76944790139494e-08,0.833877391237742,0.278749356896807,0.693327200902041,8.70742847630981e-06,0.753720645978194,NA,NA,NA,NA,6
"13",15,2.78840600961488e-09,0.905375360270623,0.898908905324493,0.675976839478161,1.39326695715896e-05,0.744330321981773,NA,NA,NA,NA,7
"14",16,1.24025601479892e-11,0.965383415367366,0.117331255152388,0.762967386015121,5.20991307744539e-11,0.853543605781211,NA,NA,NA,NA,12
"15",17,1.24252038596746e-05,0.936193560002097,0.994643140618044,0.646487737232135,0.00364852899816707,0.782007027275485,NA,NA,NA,NA,9
"16",21,2.8496695488026e-07,0.939968162203708,0.215066861590193,0.734453344284253,6.53937525013748e-06,0.825449932839868,NA,NA,NA,NA,11
"17",22,3.37360892388738e-13,0.981056769634845,0.139247138130346,0.650480939476618,1.01269439505556e-09,0.828499937079612,NA,NA,NA,NA,18
"18",23,8.36964984092366e-13,0.984030697371261,0.243042921478635,0.555085496161372,0.000579950872975174,0.707160048988904,NA,NA,NA,NA,14
"19",24,4.17176277090272e-07,0.888679011020768,0.000146237593402109,0.774440579702452,2.02684979689705e-09,0.819382611501944,NA,NA,NA,NA,7
"20",25,1.66999156808896e-05,0.901365945396272,0.382525375513068,0.643046357712194,7.9944495928497e-05,0.747349700917587,NA,NA,NA,NA,9
"21",26,1.80685445327102e-07,0.966532864878819,0.253883065938644,0.775206885827385,2.14305847437043e-05,0.833071290738376,NA,NA,NA,NA,10
"22",27,1.49369510219426e-07,0.907548612579821,0.00271601773092104,0.775662861929685,2.88563726002838e-09,0.80507492240625,NA,NA,NA,NA,8
"23",29,2.3326925140849e-09,0.937437964351894,0.277731557086603,0.672209504324859,1.51755994776562e-06,0.828625394610376,NA,NA,NA,NA,5
"24",30,9.54009865132774e-09,0.894292097938957,0.270479198867879,0.830277324510873,1.89544404117501e-06,0.823315554778339,NA,NA,NA,NA,11
"25",31,5.36804935433289e-07,0.879161169370391,0.0124022680740218,0.757123122469353,1.42307718373719e-07,0.804829853719239,NA,NA,NA,NA,8
"26",32,1.35403140062494e-07,0.905326874682011,0.154354936020387,0.77539024165446,3.73767986338524e-07,0.817812650180001,NA,NA,NA,NA,9
"27",33,4.15586690639126e-05,0.952312396791155,0.772115313628646,0.623840231643871,0.008283382308883,0.755025871446516,NA,NA,NA,NA,8
"28",35,1.29653198923175e-06,0.857560848847932,0.570701194527243,0.675002619995488,0.000221838182280725,0.732454026265046,NA,NA,NA,NA,4
"29",36,2.95462587209445e-07,0.931662151524282,0.545732055230191,0.561621492181241,6.45500549304662e-05,0.72302631173428,NA,NA,NA,NA,8
"30",37,1.57863177596966e-06,0.923525410325616,0.914524932519652,0.707376587199927,0.000204240001866413,0.785418861218297,NA,NA,NA,NA,10
"31",38,2.01837540810753e-11,0.925054342888004,0.331384215029794,0.744717460707947,1.86695054505099e-07,0.811143632194083,NA,NA,NA,NA,10
"32",39,3.14959627589203e-10,0.921170949887654,0.0249533122044195,0.681361914556725,5.68442426678546e-09,0.823216290416818,NA,NA,NA,NA,11
"33",40,5.32060767408161e-09,0.955206830704495,0.0461936553377525,0.728976110667022,5.17878381089611e-08,0.80040379271416,NA,NA,NA,NA,13
"34",41,2.85068311808451e-09,0.987302749778092,0.30047373967199,0.669944660439471,8.08936700614529e-07,0.821295616743943,NA,NA,NA,NA,16
"35",42,4.28652723296553e-10,0.960187742920384,0.746649799327423,0.581562992717957,2.3985274384852e-06,0.801065967024731,NA,NA,NA,NA,10
"36",43,2.45854888394557e-07,0.968142351598904,0.137010313320626,0.687749184482377,8.63635012446405e-07,0.859942291966483,NA,NA,NA,NA,10
"37",44,1.09416531949634e-08,0.945474364392873,0.549376727196394,0.60840096973612,0.00117084176927558,0.741245960274726,NA,NA,NA,NA,10
"38",45,1.43780855010847e-11,0.934845883337472,0.25488465226784,0.662000924619119,5.56445652474593e-08,0.805226123864913,NA,NA,NA,NA,12
"39",46,5.99301401624625e-07,0.935417721416178,0.516431027222552,0.545812354928033,4.41722778615821e-05,0.734163273129477,NA,NA,NA,NA,9
"40",47,1.71699692947364e-06,0.973354166886281,0.311394920651253,0.67403905709979,0.000188462601785814,0.79559224022409,NA,NA,NA,NA,9
"41",48,4.21759163367984e-08,0.974427711503968,0.517664504001064,0.579385255891816,0.000340706615910555,0.753665781778888,NA,NA,NA,NA,12
"42",49,1.42860478211666e-08,0.990370795564681,0.150803356052493,0.670478607457149,2.24076756487166e-07,0.8095464538526,NA,NA,NA,NA,10
"43",50,4.10684641352429e-11,0.946632604840495,0.420989785544303,0.60538003574134,1.6444202356951e-09,0.772396948173931,NA,NA,NA,NA,16
"44",51,1.43131722380094e-06,0.984411163916477,0.00392822485659139,0.693290368434058,9.41715801352862e-07,0.776345216140803,NA,NA,NA,NA,9
"45",52,1.4699242485707e-09,0.920774807037849,0.160367476467644,0.651117639821715,1.63313988523186e-08,0.817700465391682,NA,NA,NA,NA,10
"46",53,3.58900463807043e-07,0.893170728512097,0.199957537584813,0.822886005866208,1.50426920095684e-05,0.843391638748331,NA,NA,NA,NA,7
"47",54,2.10315745316094e-08,0.980399022117356,0.55171004299667,0.667899435197575,2.28049523713975e-05,0.81565405897426,NA,NA,NA,NA,12
"48",55,2.22794300209305e-07,0.856896917613096,0.623501651721061,0.580384000512881,0.00209139245228974,0.765537498915549,NA,NA,NA,NA,11
"49",56,2.58783781092501e-07,0.911054429700833,0.264546315427255,0.666424639945447,6.84312232536962e-05,0.747202606382911,NA,NA,NA,NA,4
"50",57,9.26118488181353e-12,0.971535515662916,0.18649179558547,0.69566497960213,6.26229481792072e-09,0.81170028690264,NA,NA,NA,NA,12
"51",58,8.61242960960879e-10,0.936159647585757,0.240756678548631,0.659969854406245,7.40541012474135e-07,0.821854434231927,NA,NA,NA,NA,9
"52",59,2.13095746633804e-11,0.948117047808528,0.293748338382585,0.673965162495339,1.04514738517393e-05,0.823096607954466,NA,NA,NA,NA,9
"53",60,2.32488119315605e-10,0.906623237798002,0.208165909878994,0.59607496047879,7.61950448391637e-07,0.753313727185965,NA,NA,NA,NA,11
"54",62,4.88794115099581e-08,0.908850543014838,0.0856699105925976,0.673954889968078,4.32317806279922e-07,0.777826301038269,NA,NA,NA,NA,9
"55",63,1.43339691595073e-08,0.920149831100881,0.0358841543428115,0.841390892368168,1.11531256537182e-07,0.854520921226149,NA,NA,NA,NA,9
"56",64,7.93708955346559e-08,0.95186531899719,0.389912308529081,0.690484579542413,3.94369002382651e-06,0.826437945379624,NA,NA,NA,NA,12
"57",65,1.23037401830781e-09,0.946173859907295,0.266799534938707,0.738715401330125,2.18702288036384e-07,0.818740318859454,NA,NA,NA,NA,9
"58",66,0.000216946235549107,0.851773659175078,0.0045791487014952,0.723986343441183,2.16018396852045e-06,0.761992070771087,NA,NA,NA,NA,3
"59",67,8.71279740875109e-07,0.933315313878968,0.285425970063239,0.743268765319821,8.22919281441064e-06,0.784537936017879,NA,NA,NA,NA,8
"60",68,3.60101909120891e-12,0.976499485178425,0.957643336310882,0.743498077418017,2.28566196894909e-05,0.856472656681225,NA,NA,NA,NA,12
"61",69,1.28518310667638e-10,0.988954056952869,0.296815064915393,0.734706477045729,3.63452857139643e-07,0.865857060546154,NA,NA,NA,NA,15
"62",70,3.37707339078999e-09,0.974194133767834,0.320086593977104,0.594958410593137,6.41343193627088e-07,0.740830260410048,NA,NA,NA,NA,13
"63",71,1.16187495118058e-07,0.93590119570466,0.0132263910766755,0.755126937672733,3.89321888061633e-07,0.822052840121152,NA,NA,NA,NA,11
"64",72,2.21125000714205e-07,0.948764507662276,0.0804054902980167,0.666878523013797,9.23832775963094e-07,0.805453241057652,NA,NA,NA,NA,13
"65",73,2.49094727356777e-07,0.903531490956256,0.794661301706643,0.637085198676326,3.39789123936239e-05,0.797649984423198,NA,NA,NA,NA,8
"66",74,1.67079994761715e-06,0.941357602154598,0.144609397141147,0.781747424596208,1.71077314735237e-05,0.812824586830091,NA,NA,NA,NA,8
"67",75,4.09750814103826e-09,0.939866426128121,0.912316870014273,0.595835624243586,4.94910747329934e-05,0.780858469506607,NA,NA,NA,NA,11
"68",76,2.68899140838348e-05,0.857090682417955,0.185400184757772,0.611363291211566,4.0037045971083e-06,0.735197812649153,NA,NA,NA,NA,4
"69",77,7.10653240160461e-08,0.931781334756292,0.240426578058246,0.628337884829624,3.07681137660565e-05,0.752323426133739,NA,NA,NA,NA,10
"70",78,1.35266778578436e-09,0.88082202291066,0.293076119462196,0.683022231238309,3.08767166194872e-05,0.757031593009189,NA,NA,NA,NA,9
"71",79,8.2221159835212e-05,0.89649905265322,0.067844854263308,0.656178034022805,3.39804033265424e-05,0.740361214129488,NA,NA,NA,NA,3
"72",80,0.000137100822580722,0.783392169296646,0.862460486377453,0.647946870607429,0.00615583966068367,0.698973761618341,NA,NA,NA,NA,4
"73",81,1.40170667485166e-07,0.960010845455101,0.0859664569258867,0.695316278553932,2.74779288310148e-06,0.808553484371378,NA,NA,NA,NA,8
"74",82,1.71419352838928e-10,0.922883307864764,0.594428298970224,0.737979486480288,1.2643228265818e-06,0.813112094489864,NA,NA,NA,NA,11
"75",83,1.70214478138373e-05,0.856822675358955,0.066447853139361,0.659344657435573,1.554007818806e-05,0.74166747715132,NA,NA,NA,NA,4
"76",84,3.83475901925771e-05,0.793624331284558,0.15042087425347,0.664995622113748,4.46708007333335e-05,0.722056376972637,NA,NA,NA,NA,2
"77",85,5.93483459964992e-10,0.961586031886324,0.825856333305789,0.530901016102402,4.44595416614077e-06,0.762718355435999,NA,NA,NA,NA,13
"78",86,4.44233375463739e-05,0.844875756601161,0.316667769991595,0.774697821655765,0.00417531137812863,0.806268220642542,NA,NA,NA,NA,9
"79",88,4.11357644753854e-06,0.828394948644347,0.0578914837930433,0.499352395981103,0.016853273996755,0.697407216332332,NA,NA,NA,NA,3
"80",89,5.47566553526813e-06,0.917039100581107,0.0231528476982918,0.668125584811067,8.13956081009513e-06,0.781737404442433,NA,NA,NA,NA,5
"81",90,7.94028513261788e-05,0.880191752763228,0.0720698453855581,0.666830832818987,0.000350328474290018,0.773594329411212,NA,NA,NA,NA,4
"82",92,3.03863195269643e-06,0.960654131093978,0.306844346749826,0.624272191916712,9.40602069397992e-06,0.764854733938324,NA,NA,NA,NA,9
"83",93,0.000767187886471003,0.811110451362991,0.446113867180678,0.639575443532494,0.00665572389948709,0.708416252217032,NA,NA,NA,NA,3
"84",94,8.79650742436616e-08,0.965000390554782,0.0197363023886402,0.638178940291058,5.77723975341111e-08,0.80984298387566,NA,NA,NA,NA,9
"85",96,4.94651161433026e-10,0.957268003155266,0.585726796421437,0.633645598701532,7.3656400368397e-06,0.799926639590438,NA,NA,NA,NA,11
"86",97,5.99867626620698e-09,0.945928873697964,0.0114305673957597,0.68792187712804,9.84017738551576e-09,0.8072076230813,NA,NA,NA,NA,11
"87",98,9.83146391191744e-11,0.985586291319814,0.58693338156706,0.631492748590051,3.35342982878133e-06,0.833324371402016,NA,NA,NA,NA,13
"88",99,3.13999265136273e-12,0.994052844009387,0.8485882139583,0.567663563927104,8.27867190625328e-07,0.790447410766884,NA,NA,NA,NA,14
"89",100,8.41432962473531e-05,0.782944512160827,0.800873754686062,0.601057956679269,0.0140003334717974,0.653487719665355,NA,NA,NA,NA,2
"90",101,1.0464438931096e-09,0.94057163782609,0.0379531206912004,0.737639522641139,3.35976297239406e-08,0.804127345332975,NA,NA,NA,NA,12
"91",102,4.2819642544134e-08,0.932341866764633,0.41062549870262,0.660427563978904,3.58307228036355e-06,0.811113601781449,NA,NA,NA,NA,14
"92",103,1.84897252115557e-06,0.928717557217461,0.124303022277719,0.780939321561242,1.30078472067112e-06,0.848365607048332,NA,NA,NA,NA,10
"93",104,9.57585540911131e-07,0.89581622233769,0.18367224779115,0.683788143446927,3.51514883599703e-06,0.784244858122274,NA,NA,NA,NA,9
"94",105,3.86840635547778e-09,0.935194990479159,0.221552952199935,0.657595362525753,0.000211585245830468,0.756291770191578,NA,NA,NA,NA,15
"95",106,0.000346687278620087,0.781646420794546,0.0703595971451919,0.725231838925508,1.66823250453023e-05,0.746428415142931,NA,NA,NA,NA,3
"96",107,7.57275050067302e-05,0.871394867472458,0.393534485407734,0.671615432215275,0.000385011551950935,0.746337371070099,NA,NA,NA,NA,8
"97",108,5.73655641747456e-06,0.975415920732274,0.52085430359914,0.646008790028175,1.93224065021558e-05,0.794127609815541,NA,NA,NA,NA,8
"98",109,4.38206237216344e-10,0.892632056568772,0.469790424480173,0.623600689207583,0.00043280642103591,0.735399458605516,NA,NA,NA,NA,8
"99",110,8.01954399247724e-08,0.910996070467112,0.346716271260133,0.629426885210586,1.90143087653135e-06,0.743400704809339,NA,NA,NA,NA,5
"100",112,9.88648890502107e-07,0.859659126218312,0.135432223478724,0.799707602192495,0.000353754581320494,0.758215065803677,NA,NA,NA,NA,6
"101",113,1.41721131761531e-07,0.950495596387788,0.324653522907813,0.602977539314994,4.65153255740205e-06,0.738113520095099,NA,NA,NA,NA,9
"102",114,4.86077358508364e-10,0.946029421569631,0.283455630335079,0.666516746870219,5.69006988770072e-07,0.745811878394967,NA,NA,NA,NA,10
"103",115,1.45441618138405e-06,0.887283303301713,0.73053048679155,0.623099510738556,0.000214276826147195,0.742141678265732,NA,NA,NA,NA,11
"104",116,4.77827307224441e-08,0.980529133517997,0.00274964377829378,0.717344085111045,8.78945006849404e-08,0.825224078854677,NA,NA,NA,NA,18
"105",117,0.0013978057592285,0.824223555553699,0.148299101592325,0.661889835607507,0.00111399660667938,0.716900573911061,NA,NA,NA,NA,2
"106",118,1.88867925113523e-05,0.827798566110608,0.350142472232478,0.699965334605292,0.000274817500101135,0.712257083533297,NA,NA,NA,NA,2
"107",119,8.18009160259675e-09,0.96242577486115,0.247425056000593,0.806361951590543,5.7718963583729e-07,0.864029282215457,NA,NA,NA,NA,11
"108",120,2.91647554435429e-09,0.997928799440362,0.721224698486689,0.608248347662874,1.32425753125019e-05,0.795261514591514,NA,NA,NA,NA,26
"109",121,8.94022233371541e-05,0.815733108650627,0.0404160774612974,0.701338119743321,1.08408421790363e-05,0.752042245411699,NA,NA,NA,NA,2
"110",122,6.85377951407761e-10,0.947558474883632,0.993757313464439,0.573609626968618,1.83026749945663e-07,0.769235709766131,NA,NA,NA,NA,9
"111",123,1.47746734128984e-06,0.868713588883276,0.0628057206856765,0.716355941461181,2.15773013370694e-06,0.803728717794999,NA,NA,NA,NA,8
"112",125,2.50842450544125e-08,0.942334157888208,0.0192979820443215,0.743939700956043,1.0824949756031e-08,0.843049624076332,NA,NA,NA,NA,12
"113",126,1.07038060681412e-07,0.882448513697136,0.066499305508403,0.700597576976161,1.33030450640139e-06,0.792953358029877,NA,NA,NA,NA,8
"114",127,7.35186048965177e-07,0.902467777942079,0.000670608333430376,0.742780068735252,3.12234658613072e-08,0.832507392023928,NA,NA,NA,NA,9
"115",128,1.19840803054856e-07,0.964454968497076,0.0156311386630516,0.708418286642212,1.2978315149009e-07,0.86152951693756,NA,NA,NA,NA,9
"116",129,9.85186174964851e-11,0.942562152774878,0.567104821062092,0.693661962707897,2.86145765914289e-07,0.830595507673521,NA,NA,NA,NA,9
"117",130,2.09209100998847e-11,0.949793472181406,0.0249569054221981,0.701464971042324,4.80949198180303e-09,0.846921292080535,NA,NA,NA,NA,12
"118",131,8.28874940554167e-08,0.9061164411774,0.220306172814694,0.718465190287226,5.0781322906537e-06,0.795426399488838,NA,NA,NA,NA,9
"119",132,5.41600855692557e-09,0.949425953164986,0.820135739277766,0.62435192418047,3.27202559282872e-05,0.791069470640616,NA,NA,NA,NA,10
"120",133,9.74200144673839e-06,0.870418544470954,0.283712165184421,0.622037967576839,0.00224954466433264,0.691099364158042,NA,NA,NA,NA,4
"121",134,1.20730484856851e-05,0.844954296446859,0.64772773981789,0.677071092259244,0.000588576355133381,0.762986443443643,NA,NA,NA,NA,6
"122",135,0.000171745680913419,0.817687072915937,0.546755895866019,0.530566134663082,0.0118732397062415,0.716174707732275,NA,NA,NA,NA,2
"123",136,7.69412488754628e-08,0.930537451880235,0.136805969327206,0.666876077727012,1.20786316422523e-06,0.80897760633938,NA,NA,NA,NA,8
"124",137,1.59403603150798e-06,0.922077630964136,0.337767840422861,0.751053049923767,2.40090281652476e-05,0.812285158963708,NA,NA,NA,NA,8
"125",138,4.69534060285484e-09,0.940587587693915,0.683367508770695,0.611467548044452,2.87821563787112e-05,0.77251953286469,NA,NA,NA,NA,11
"126",139,2.93084172517931e-07,0.882378391036984,0.0539137097976643,0.706835829750175,3.4290494388056e-06,0.791705249252663,NA,NA,NA,NA,5
"127",140,2.95014565222229e-07,0.937951587404167,0.88976386756546,0.635598823669566,0.00075592350824266,0.788191852137589,NA,NA,NA,NA,8
"128",141,0.00612585630599016,0.861434398210068,0.227476095778575,0.660479782901321,0.00747641682070663,0.7604060210678,NA,NA,NA,NA,4
"129",142,0.000147266344027903,0.855823377522524,0.0911003036892595,0.662977974668071,0.000439970470305011,0.766766609952158,NA,NA,NA,NA,4
"130",143,1.64385769779982e-11,0.987379841715851,0.36797353203898,0.576807406740857,7.09837472989251e-07,0.811675207499689,NA,NA,NA,NA,16
"131",144,7.2290125076069e-07,0.926701352173204,0.147636078040348,0.73191513757551,1.34296505032759e-05,0.798187148619791,NA,NA,NA,NA,9
