	SamplingTime	TrainRiskP	TrainRiskAUC	TestRiskP	TestRiskAUC	TCGARiskP	TCGARiskAUC	GEO1RiskP	GEO1RiskAUC	GEO2RiskP	GEO2RiskAUC	GeneNums
19	24	4.17E-07	0.888679011	0.000146238	0.77444058	2.03E-09	0.819382612	NA	NA	NA	NA	7
22	27	1.49E-07	0.907548613	0.002716018	0.775662862	2.89E-09	0.805074922	NA	NA	NA	NA	8
25	31	5.37E-07	0.879161169	0.012402268	0.757123122	1.42E-07	0.804829854	NA	NA	NA	NA	8
58	66	0.000216946	0.851773659	0.004579149	0.723986343	2.16E-06	0.761992071	NA	NA	NA	NA	3
109	121	8.94E-05	0.815733109	0.040416077	0.70133812	1.08E-05	0.752042245	NA	NA	NA	NA	2
200	224	5.89E-06	0.865638484	0.021747746	0.727859471	9.36E-06	0.787171872	NA	NA	NA	NA	6
203	227	3.02E-09	0.907442694	0.04118646	0.775209116	9.69E-08	0.850532345	NA	NA	NA	NA	7
222	246	9.28E-09	0.913584697	0.042507668	0.705754595	5.73E-09	0.812868945	NA	NA	NA	NA	8
231	255	1.47E-07	0.905681581	0.033855165	0.702811095	2.12E-08	0.801048949	NA	NA	NA	NA	7
234	260	1.70E-05	0.823177376	0.002049193	0.812489171	1.29E-07	0.779373197	NA	NA	NA	NA	6
242	269	1.05E-07	0.861237563	0.011392115	0.744469388	3.85E-08	0.801121762	NA	NA	NA	NA	7
243	270	0.002100312	0.780360327	0.021562735	0.78888198	8.98E-05	0.753376255	NA	NA	NA	NA	2
244	271	7.08E-08	0.92528417	0.009283867	0.742867821	1.09E-08	0.813246559	NA	NA	NA	NA	6
256	284	1.02E-05	0.945548132	0.008169136	0.730008966	2.69E-08	0.821278608	NA	NA	NA	NA	7
283	315	3.71E-09	0.954982071	0.029623145	0.703289507	4.70E-08	0.800486389	NA	NA	NA	NA	8
286	318	2.04E-05	0.948104693	0.00276621	0.732727918	1.08E-07	0.786575887	NA	NA	NA	NA	8
307	341	1.26E-05	0.881125311	0.021447771	0.744572267	4.45E-06	0.803647519	NA	NA	NA	NA	8
322	358	0.000642302	0.797808418	0.005107554	0.704904788	1.57E-05	0.755842958	NA	NA	NA	NA	4
377	418	0.003382136	0.846198644	0.026933362	0.733907464	0.000255287	0.762710977	NA	NA	NA	NA	3
383	425	3.50E-05	0.84103324	0.00710065	0.786866628	4.82E-07	0.811202007	NA	NA	NA	NA	8
393	435	7.87E-06	0.904416826	0.011884012	0.727741891	1.15E-05	0.789755837	NA	NA	NA	NA	6
